Title,Event Date,URL,Image URL,Description
Bryan Adams,2025-02-04,https://www.sparkarena.co.nz/all-events/bryan-adams-tickets-ae1392,https://dynamicmedia.livenationinternational.com/v/m/n/c58ff615-9f43-4c73-ad04-daf0eafff4f2.jpg?format=webp&width=3840&quality=75,"No stranger to being on the road, he is one of the best-loved performers of the last four decades, achieving a string of #1 hits in over 40 countries. The songs are legendary: ‘Summer of ’69’, ‘(Everything I Do) I Do It For You’, ‘Heaven’, ‘Run To You’, Please Forgive Me’ ‘18 til I Die’ and many more.

With many an accolade, Adams is the recipient of numerous awards, including a GRAMMY for Best Rock Performance (with 16 nominations), not to mention nominations for three Academy Awards and five Golden Globe, American Music Awards, and a Companion of the Order of Canada. He has duetted with icons Tina Turner, Sting, Rod Stewart, and Mel C.

Joining Adams as special guest on all shows – and his first time performing in AU/NZ – is English singer and songwriter James Arthur. One of the world’s biggest streaming artists, Arthur has over 40 million monthly listeners on Spotify alone, and recently scored the #1 spot on the UK Album charts with 2024 release Bitter Sweet Love. Arthur first broke through with 2016’s ‘Say You Won't Let Go’, officially the UK’s most streamed song that year. Other hit singles include: ‘Impossible’, ‘Can I Be Him’, ‘Sun Comes Up’, ‘Naked’, ‘Empty Space’, ‘Rewrite The Stars’, ‘Falling Like the Stars’, ‘Train Wreck’, and ‘Lasting Lover’, all certified Platinum.

One of the world’s most loved performers, tickets for Bryan Adams are sure to be snatched up fast. Fans are urged to secure tickets quickly to avoid missing out!"
BNZ Breakers v Illawarra Hawks,2025-02-05,https://www.sparkarena.co.nz/all-events/bnz-breakers-tickets-ae1464427,https://dynamicmedia.livenationinternational.com/k/o/u/7ce4dec0-a4e8-4b3b-86d2-183bb4397a5d.jpg?format=webp&width=3840&quality=75,"The wait is almost over - the BNZ Breakers are back on the court for the first home game of the NBL25 season!

It's time to bring the noise to Spark Arena on Sunday 29 September and show your support as the BNZ Breakers kick things off with a massive showdown against the South East Melbourne Phoenix.

BNZ Breakers vs SEM Phoenix Sunday 29 September - tip-off 7:30pm

This is going to be an epic start to the season, and we need YOU there to get behind the team, and create the ultimate home-court advantage.

More games coming up:

BNZ Breakers v Sydney Kings - Fri 20 Dec 2024, 7.30pm
BNZ Breakers v Perth Wildcats - Sun 5 Jan 2025, 4.30pm
BNZ Breakers v Tasmania JackJumpers - Thu 16 Jan 2025, 7.30pm
BNZ Breakers v Cairns Taipans - Sat 1 Feb 2025, 7.30pm
BNZ Breakers v Illawarra Hawks - Wed 5 Feb 2025, 7.30pm

Don’t wait - grab your tickets now!"
Tyler Childers - Mule Pull Tour,2025-02-06,https://www.sparkarena.co.nz/all-events/tyler-childers-tickets-ae983762,https://dynamicmedia.livenationinternational.com/g/q/m/28dcfa20-460a-4d1f-9214-1a7d4be260e1.jpg?format=webp&width=3840&quality=75,"GRAMMY-nominated singer, songwriter and musician Tyler Childers is “one of country music’s most compelling and unpredictable artists” (Associated Press). Adding to an already triumphant career, Childers released his acclaimed new album, Rustin’ In The Rain, late last year via Hickman Holler Records/RCA Records, which includes the GRAMMY and ACM-nominated single, “In Your Love.”

“In Your Love” has garnered over 10 million video views to date, 180 million on-demand streams and received praise from outlets such as NPR Music, Billboard, Pitchfork, Stereogum, The Advocate and Rolling Stone, who declared it “the music video of compassion and caring we need right now,” while USA Today called the video “a much-needed portrait of inclusivity.” View here.

Since his 2017 breakthrough long player “Purgatory,” Childers has released three additional albums and performed countless sold-out shows across the world. Known for his electric live concerts, the Kentucky native kicked off his extensive US “Mule Pull ‘24 Tour” with sold-out shows at Inglewood’s Kia Forum, Austin’s Moody Center, two nights at New York’s Madison Square Garden and two nights at Nashville’s Bridgestone Arena, of which The Tennessean praised, “a powerfully emotional performance…[Childers] emerged in Nashville as a confident arena superstar.”"
62nd ISPS Handa Halberg Awards,2025-02-18,https://www.sparkarena.co.nz/all-events/62nd-isps-handa-halberg-awards-tickets-ae1558184,https://dynamicmedia.livenationinternational.com/z/f/u/037c539b-76fd-48f3-8be2-75b1076c33c7.png?format=webp&width=3840&quality=75,"The Halberg Awards, New Zealand's premier celebration of sporting excellence, recognise and honour the nation's top athletes, teams, moments and coaches across a variety of categories. Hosted by the Halberg Foundation, the event embodies Sir Murray Halberg’s legacy of inclusivity, empowerment, and excellence in sport.

Join us at Spark Arena as we celebrate the 62nd ISPS Handa Halberg Awards and shine a spotlight on the achievements that inspire the nation, including a new award recognising impact in the disability sport space."
Tall Blacks v Philippines,2025-02-23,https://www.sparkarena.co.nz/all-events/tall-blacks-v-philippines-tickets-ae1555635,https://dynamicmedia.livenationinternational.com/t/j/q/e6105713-b0af-4b30-bfec-09fcf1674635.jpg?format=webp&width=3840&quality=75,"The Halberg Awards, New Zealand's premier celebration of sporting excellence, recognise and honour the nation's top athletes, teams, moments and coaches across a variety of categories. Hosted by the Halberg Foundation, the event embodies Sir Murray Halberg’s legacy of inclusivity, empowerment, and excellence in sport.

Join us at Spark Arena as we celebrate the 62nd ISPS Handa Halberg Awards and shine a spotlight on the achievements that inspire the nation, including a new award recognising impact in the disability sport space."
Chris Stapleton - All American Road Show Goes Down Under,2025-03-07,https://www.sparkarena.co.nz/all-events/chris-stapleton-tickets-ae1234931,https://dynamicmedia.livenationinternational.com/m/k/g/3e883edc-1560-44a0-9e7d-48bd22f254c8.jpg?format=webp&width=3840&quality=75,"Want access to the Spark Arena Premium Lounge & 2 hours of free-flowing hospitality for the show on Sat 8 March 2025? Upgrade your concert ticket here

Acclaimed musician Chris Stapleton will be bringing his tour to New Zealand for the first time in 2025 with “Chris Stapleton’s All-American Roadshow Goes Down Under.”

Kentucky-born Chris Stapleton is an 10x Grammy, 15x CMA and 10x ACM Award-winner and one of the United States’ most respected and beloved musicians. In the midst of yet another triumphant year, Stapleton recently won two awards at the 66th Annual GRAMMY Awards: Best Country Solo Performance and Best Country Song (both for his #1 song, “White Horse”). He was also named Entertainer of the Year at last year’s 58th ACM Awards—resulting in a prestigious ACM Triple Crown Award—and was named Male Vocalist of the Year for the seventh time at the 57th CMA Awards this past fall, breaking his own record for most wins ever in the category. Additionally, he performed the National Anthem at 2023’s Super Bowl LVII and has collaborated in recent years with Adele, Taylor Swift, Bruno Mars, Ed Sheeran, Justin Timberlake, P!nk, Sheryl Crow, Santana and many more."
Chris Stapleton - All American Road Show Goes Down Under,2025-03-08,https://www.sparkarena.co.nz/all-events/chris-stapleton-tickets-ae1234931,https://dynamicmedia.livenationinternational.com/m/k/g/3e883edc-1560-44a0-9e7d-48bd22f254c8.jpg?format=webp&width=3840&quality=75,"Want access to the Spark Arena Premium Lounge & 2 hours of free-flowing hospitality for the show on Sat 8 March 2025? Upgrade your concert ticket here

Acclaimed musician Chris Stapleton will be bringing his tour to New Zealand for the first time in 2025 with “Chris Stapleton’s All-American Roadshow Goes Down Under.”

Kentucky-born Chris Stapleton is an 10x Grammy, 15x CMA and 10x ACM Award-winner and one of the United States’ most respected and beloved musicians. In the midst of yet another triumphant year, Stapleton recently won two awards at the 66th Annual GRAMMY Awards: Best Country Solo Performance and Best Country Song (both for his #1 song, “White Horse”). He was also named Entertainer of the Year at last year’s 58th ACM Awards—resulting in a prestigious ACM Triple Crown Award—and was named Male Vocalist of the Year for the seventh time at the 57th CMA Awards this past fall, breaking his own record for most wins ever in the category. Additionally, he performed the National Anthem at 2023’s Super Bowl LVII and has collaborated in recent years with Adele, Taylor Swift, Bruno Mars, Ed Sheeran, Justin Timberlake, P!nk, Sheryl Crow, Santana and many more."
Slipknot,2025-03-11,https://www.sparkarena.co.nz/all-events/slipknot-tickets-ae2079,https://dynamicmedia.livenationinternational.com/y/o/b/ebb74218-81b6-4660-840a-965acb159406.jpg?format=webp&width=3840&quality=75,"After months of relentless chaos and sold-out arenas, SLIPKNOT will be headlining a show in Auckland!

As always, attendees can expect a performance unlike any other, from a band who only get more thrilling, exciting and cathartic as time goes on. Having released a new record in 2022, The End, So Far (crowned at #1 on the ARIA Albums Chart; their fourth consecutive album to do so), SLIPKNOT refuse to rest on past glories and continue to innovate, with fan favourites including as many new songs as older. Between enduring fan-revered singles like Duality, Psychosocial and Wait and Bleed, as well as deeper cuts and newer material over the years, SLIPKNOT’s drive and creativity bleeds through their jaw-dropping live performances. 

In 2012, the journey to creating a platform of their own in KNOTFEST, was born out of SLIPKNOT’s dedication to creating a memorable live experience for audiences around the world. Headline slots at some of the world’s biggest festivals including Download, Wacken, Rock In Rio, Louder Than Life, Hellfest and more perfectly set SLIPKNOT up with the ambition to take things further; building their own festival that not only championed new waves of incredible talent, but enshrined their own status as one of the best bands to do it.”

Don't miss your chance to catch SLIPKNOT; these tickets definitely won't last long!"
Fontaines D.C.,2025-03-12,https://www.sparkarena.co.nz/all-events/fontaines-d-c--tickets-ae1084678,https://dynamicmedia.livenationinternational.com/n/y/c/30369a5b-d2b6-45d6-9429-e6864ddaeb9a.jpg?format=webp&width=3840&quality=75,"Irish post-punk band Fontaines D.C. return to New Zealand in 2025 to celebrate their new album ""Romance"" with special guests Wunderhorse!

""Romance"" is Fontaines D.C.s most ambitious, expansive record yet. The sonic evolution of the band, who bared their teeth in early records with antagonistic punk sensibilities, is an ascent into grungier breaks, dystopian electronica, hip-hop percussion, and dreamy Slowdive-esque textures that may surprise fans."
Shihad,2025-03-14,https://www.sparkarena.co.nz/all-events/shihad-tickets-ae383900,https://networksites.livenationinternational.com/networksites/szna45wq/shihad-lf-auckland-spotlight-cover-photo-1440x450px.jpg?format=webp&width=3840&quality=75,"Forged in the fires of 1988’s thrash metal scene, Wellington’s SHIHAD quickly evolved into one of Aotearoa’s most beloved bands.

Their story begins with Devolve (1990), a high-octane four-track EP of Metallica-inspired thrash. A year later bassist Karl Kippenberger joined Tom Larkin (Drums), Phil Knight (Lead guitar) and Jon Toogood (Vocals and guitars) to solidify the line-up that would change the face of New Zealand music and earn the enviable reputation as Aotearoa’s most formidable live band.

The group broke through with its second album Killjoy (1995), which blended the colossally heavy riffs of debut album Churn (1991), with a newfound pop sensibility. This potent mix would become the signature SHIHAD sound.

Killjoy spawned two Top 20 singles, ‘You Again’ and ‘Bitter’, and won four Aotearoa Music Awards (AMA’s), to begin a winning streak that would see SHIHAD collect 18 AMA’s throughout their career and be inducted into the New Zealand Music Hall of Fame in 2010.

Nine of SHIHAD’s 10 studio albums powered into the New Zealand Music Charts Top 10, with six (The General Electric (1999), Beautiful Machine (2008), Ignite (2010), FVEY (2014) and Old Gods (2021)) hitting the top spot, a feat unrivalled by any other local act.

Powering those albums are iconic songs, like ‘Run’, ‘The General Electric’, ‘La La Land’, ‘Pacifier’, ‘My Mind’s Sedate’, and instant classic ‘Home Again’, a signature anthem not just for SHIHAD, but for all Kiwis abroad.

Along with these soaring highs, SHIHAD experienced heavy lows. But no setback could withstand the crushing power, purpose and propulsive momentum of the band.

Live, SHIHAD were truly an oversized presence. 2005’s free gig at Auckland’s Aotea Square is legendary, they owned the prized sunset spot at music festival Big Day Out for years, headlined major festivals like Rhythm and Alps and toured with metal icons like Faith No More, Black Sabbath, Motorhead and AC/DC.

But with gaps between albums increasing, growing commitments outside the band and the member's inability to give SHIHAD the time, focus and dedication it needed and deserved, the group made the hard call to conclude the band. While opinions within differ, the group are united in agreeing that half-assing SHIHAD was never an option.

But SHIHAD’s story is not over just yet. The upcoming LOUD FOREVER tour offers both the band and its nation of fans the opportunity of a fittingly loud and raucous farewell."
